kernel,reason
augmented_attention_bwd_atomic_triton,"the atomic-accumulation backward in augmented_attention/triton/memory_efficient.py. The module reaches augmented_attention_bwd_split_triton instead at every shape the derivation drove, so this variant is an A/B alternative with no caller on sm86"
bias_only_attention_bwd_pre_triton,same implementation and same measurement as bias_only_attention_fwd_triton
bias_only_attention_bwd_triton,"same implementation and same measurement as bias_only_attention_fwd_triton -- one bench target, `triton_bias_only_attention`, covers all three kernels in bias_only_attention/triton/main.py"
bias_only_attention_fwd_triton,"loses to the torch reference on every committed card -- a100, a5000, a6000 and h100, 9 sweep points each, 0 wins in 36, median 1.75x and worst 3.74x. It is NOT dead weight: measured on an A6000 it uses HALF the memory at every length (384: 73.1 -> 38.3 MiB, 1024: 520 -> 272, exactly 0.52x across the sweep), because the fused kernel consumes the (L, L) attention tile instead of materialising it. Held out of `build all` as a judgement about where tuning time goes, not a verdict on the kernel -- re-tune it deliberately if the memory path is what a run needs"
gated_projection_bwd_gate_recompute_flat_triton,"declared inside modules/triangle_multiplication/baseline_dtv1.py, a baseline module kept for A/B comparison. No Case constructs it and no production module imports it, so no module sweep can ever reach it"
layernorm_bwd_split_mmajor_triton,"the m-major layernorm backward in layernorm_linear/triton/mmajor_bwd.py. The calibrated layernorm dispatch chose the persistent or atomic path at every shape the derivation drove, including both sides of the ln_bwd_path pin"
layernorm_fwd_recompute_foldstats_triton,"declared in transition/cute/fused.py, so it is reached only through the cute transition path. That path does not dispatch on sm86, and it needs CUTE_DSL/cuBLASDx to even open"
layernorm_fwd_recompute_noaffine_triton,"the no-affine sibling of layernorm_fwd_recompute_triton, in the same file and held out for the same reason -- the production backward keeps saved activations instead of recomputing"
layernorm_fwd_recompute_triton,"an activation-recompute layernorm forward in layernorm_linear/triton/recompute.py, reachable only through its own driver: the production backward paths keep the saved activation rather than recomputing it, so no module launches this"
transition_bwd_epilogue_triton,"declared in transition/cute/gatebwd_sm100.py -- a Blackwell tcgen05 path. registry.csv's own tuned_for column already says sm100, and no sm86 dispatch reaches it"
transition_bwd_transpose_packed_triton,"declared in transition/cute/backward_gatebwd.py, part of the same cute gate-backward path as transition_bwd_epilogue_triton and unreachable on sm86 for the same reason"
triangle_attention_bwd_atomic_triton,"the atomic-accumulation backward in triangle_attention/triton/atomic.py, the A/B partner of triangle_attention_fwd_contig_triton. The module reaches the split backward instead"
triangle_attention_bwd_pre_contig_triton,"the preprocessing half of the atomic backward in triangle_attention/triton/atomic.py, held out with triangle_attention_bwd_atomic_triton because they are one path"
triangle_attention_fwd_contig_triton,"the contiguous-layout attention forward in triangle_attention/triton/atomic.py. The module reaches triangle_attention_fwd_triton at every shape the derivation drove, on both sides of the gate_backend and infer_concat pins"
trimul_bwd_gate_packed_recompute_triton,"the recompute variant of the packed gate backward in trimul_inproj/triton/back_fused.py. The non-recompute trimul_bwd_gate_packed_triton is what the module reaches, at both settings of ln_out_bwd_path and trimul_impl"
trimul_gemm_gate_saveact_triton,"declared inside modules/triangle_multiplication/baseline_dtv1.py, the same baseline module as gated_projection_bwd_gate_recompute_flat_triton. Nothing in the production dispatch path constructs that module"
trimul_outproj_gemm_gate_saveact_triton,"declared inside modules/triangle_multiplication/baseline_dtv1.py, the same baseline module as gated_projection_bwd_gate_recompute_flat_triton. Nothing in the production dispatch path constructs that module"
