op,param,reason
adaln_fwd_triton,USE_LOW,"pure function of X's dtype (use_low = x.dtype in (bf16,fp16)) and the cache keys dtype separately and more finely; inference.py never consults autocast so they cannot diverge"
layernorm_fwd_rowscale_triton,EPS,"numeric tolerance: only use is rstd = 1/sqrt(var + EPS); gates no branch, changes no trip count"
layernorm_fwd_saveact_triton,eps,numeric tolerance: only use is rstd = 1/sqrt(var + eps)
layernorm_bwd_split_mmajor_triton,VEC_HINT,"sole launch site passes N=K and VEC_HINT=(K<=128), so VEC_HINT == (N<=128) and N is already keyed"
layernorm_linear_bwd_fp32_triton,USE_DOT,"sole launch site passes USE_DOT=(nh>=MIN_TL_DOT_DIM) with NH=nh, so it is a pure function of the keyed NH"
layernorm_bwd_foldstats_triton,NUM_REPLICAS,"64 when privatizing and 1 otherwise, nothing can vary it independently; a pure function of the keyed PRIVATIZE_DGDB"
transition_fwd_b2b_triton,D,"D == K (both d_hidden); the CUDA twin asserts it, transition_b2b_kernel.cu TORCH_CHECK(D == K)"
transition_fwd_b2b_triton,EPS,"numeric tolerance: only use is rstd = rsqrt(var + EPS), and only under the already-keyed FUSE_STATS"
transition_fwd_b2b_ktiled_triton,D,"D == K (both d_hidden), K already keyed"
cond_transition_fwd_b2b_triton,D,"D == K == d_hidden, stated in modules/conditioned_transition/module.py; K already keyed"
cond_transition_fwd_b2b_saveact_triton,D,D == K == d_hidden; K already keyed
trimul_outproj_layernorm_gemm_gate_triton,N,"sole launch site (trimul_back_triton) passes K=D and N=D since Wp/Wg are (D,D), so N == K and K is keyed"
trimul_gemm_gate_saveact_triton,N,"N == 2*K, proved at the launch site in _input_gemm_fwd; K already keyed"
trimul_outproj_gemm_gate_saveact_triton,N,"N == K, proved at the launch site in _output_gemm_fwd; K already keyed"
augmented_attention_fwd_triton,A,"augmentation count; never referenced in the kernel body, the grid extent is computed at the launcher, so the emitted code is identical for every A"
augmented_attention_fwd_triton,B,"batch size; only scalar index decode (off_a = off_z // B), no branch and no tile-shape change"
augmented_attention_bwd_split_triton,A,never referenced in the body
augmented_attention_bwd_split_triton,B,folds into the constant M_offset stride
augmented_attention_bwd_atomic_triton,A,never referenced in the body
augmented_attention_bwd_atomic_triton,B,folds into the constant M_offset stride
augmented_attention_bwd_pre_triton,A,never referenced in the body
augmented_attention_bwd_pre_triton,B,never referenced in the body
augmented_attention_bwd_pre_triton,stride_k,"== 1 at both launch sites, always; contiguity is invariant here, not a distinguishing property"
augmented_attention_bwd_pre_triton,stride_h,"== HEAD_DIM, already keyed"
augmented_attention_bwd_pre_triton,stride_m,"== H*HEAD_DIM, product of two already-keyed entries"
augmented_attention_bwd_pre_triton,stride_z,"== L*H*HEAD_DIM; keying it keys the EXACT L rather than its bucket -- one entry per sequence length, which is what shape_key exists to prevent"
adaln_gemm_gate_triton,SAVE_GATE,"pure store AND measured: the guarded block is one tl.store of a tile already in registers, and this kernel is a GEMM (two tl.dot), so that store is noise against the contraction. Both cards, all six shape buckets: SAVE_GATE=0 and SAVE_GATE=1 chose the SAME config and the same time to the nanosecond, 12 of 12. Control: layernorm_stats_triton K=128 vs K=256 differs in 9 of 22 buckets at 1.8-2.0x. NOT extrapolated to store-bound kernels -- gated_projection_gate_dropres_triton has zero tl.dot and keeps the flag"
transition_bwd_swiglu_recompute_triton,STACK_DAB,"store ADDRESSING only: both branches store the same two tiles with the same masks, into one 2*ND-wide dAB or into two ND-wide dA/dB. Same tile shapes, same values, same COUNT of stores -- which is what separates it from STORE_H in the same kernel, whose guarded store is a whole extra (M, ND) tensor and which stays keyed"
rmsnorm_fwd_triton,N,"the normalized width; packed into shape_key by both_key(rows, N=n) at the launcher, so it is already keyed -- the audit reads key=[...] and cannot see inside the packing"
rmsnorm_fwd_triton,eps,numeric tolerance: only use is rstd = 1/sqrt(mean(x^2) + eps)
rmsnorm_bwd_triton,N,"same packing as the forward: both_key(rows, N=n) carries it, and the backward is handed the forward key verbatim"
rmsnorm_adamod_fwd_triton,N,"d_model; packed into shape_key by both_key(rows, N=n, K=k)"
rmsnorm_adamod_fwd_triton,K,"d_cond; packed into shape_key by both_key(rows, N=n, K=k)"
rmsnorm_adamod_fwd_triton,eps,numeric tolerance: only use is rstd = 1/sqrt(mean(q^2) + eps)
rmsnorm_adamod_bwd_triton,N,"d_model; packed into the same shape_key the forward computed"
rmsnorm_adamod_bwd_triton,K,"d_cond; packed into the same shape_key the forward computed"
rope_fwd_triton,H,"n_heads; the kernel loops it and it does not tile -- a pure function of the launch, and the same for every shape the atom block presents"
rope_fwd_triton,D,"head_dim; packed into shape_key by both_key(rows, D=d)"
rope_fwd_triton,HALF,"active rope width = D/2 here; a pure function of D, which is keyed"
qk_norm_rope_fwd_triton,D,packed as D=d in the shared both_key call; the opaque boundary forwards that same key to both launchers
qk_norm_rope_fwd_triton,HALF,packed as HALF=cos.shape[-1] in the shared both_key call; both launchers use the same key and cosine half-width
qk_norm_rope_fwd_triton,H,head index reconstruction only; the row-count key includes n*s*h and the kernel reduction width D is packed separately
qk_norm_rope_fwd_triton,SEQ,sequence index reconstruction only; each program processes row-count-keyed rows with fixed reduction width D
qk_norm_rope_fwd_triton,EPS,numeric tolerance in rsqrt only; no branch or loop bound depends on it
qk_norm_rope_bwd_triton,D,packed as D=d in the shared both_key call; the opaque boundary forwards that same key to both launchers
qk_norm_rope_bwd_triton,HALF,packed as HALF=cos.shape[-1] in the shared both_key call; both launchers use the same key and cosine half-width
qk_norm_rope_bwd_triton,H,head index reconstruction only; the row-count key includes n*s*h and the kernel reduction width D is packed separately
qk_norm_rope_bwd_triton,SEQ,sequence index reconstruction only; each program processes row-count-keyed rows with fixed reduction width D
qk_norm_rope_bwd_triton,EPS,numeric tolerance in rsqrt only; no branch or loop bound depends on it
mpnn_edge_tail_bwd_layernorm_saveact_triton,WIDTH,"128 and only 128: ProteinMPNN's hidden/node/edge dimension in every shipped configuration, and the kernels read it from the family's own _WIDTH constant rather than from a shape. An axis with one value adds a key digit that never varies"
mpnn_edge_tail_fwd_gemm_recompute_triton,WIDTH,"128 and only 128: ProteinMPNN's hidden/node/edge dimension in every shipped configuration, and the kernels read it from the family's own _WIDTH constant rather than from a shape. An axis with one value adds a key digit that never varies"
mpnn_edge_tail_fwd_gemm_layernorm_recompute_triton,WIDTH,"128 and only 128: ProteinMPNN's hidden/node/edge dimension in every shipped configuration, and the kernels read it from the family's own _WIDTH constant rather than from a shape. An axis with one value adds a key digit that never varies"
mpnn_edge_tail_bwd_recompute_triton,WIDTH,"128 and only 128: ProteinMPNN's hidden/node/edge dimension in every shipped configuration, and the kernels read it from the family's own _WIDTH constant rather than from a shape. An axis with one value adds a key digit that never varies"
mpnn_edge_tail_bwd_dx_recompute_triton,WIDTH,"128 and only 128: ProteinMPNN's hidden/node/edge dimension in every shipped configuration, and the kernels read it from the family's own _WIDTH constant rather than from a shape. An axis with one value adds a key digit that never varies"
mpnn_node_message_fwd_gemm_triton,WIDTH,"128 and only 128: ProteinMPNN's hidden/node/edge dimension in every shipped configuration, and the kernels read it from the family's own _WIDTH constant rather than from a shape. An axis with one value adds a key digit that never varies"
mpnn_node_message_bwd_recompute_triton,WIDTH,"128 and only 128: ProteinMPNN's hidden/node/edge dimension in every shipped configuration, and the kernels read it from the family's own _WIDTH constant rather than from a shape. An axis with one value adds a key digit that never varies"
mpnn_node_message_bwd_dx_triton,WIDTH,"128 and only 128: ProteinMPNN's hidden/node/edge dimension in every shipped configuration, and the kernels read it from the family's own _WIDTH constant rather than from a shape. An axis with one value adds a key digit that never varies"
mpnn_relative_position_bwd_reduce_triton,WIDTH,"128 and only 128: ProteinMPNN's hidden/node/edge dimension in every shipped configuration, and the kernels read it from the family's own _WIDTH constant rather than from a shape. An axis with one value adds a key digit that never varies"
mpnn_edge_tail_fwd_gemm_recompute_triton,EDGE_WEIGHT_STRIDE,"stride(0) of a (128, 128) weight, so 128 whenever WIDTH is -- it is specialised because a slice of a packed projection is a legal weight here, not because it varies with shape"
mpnn_edge_tail_bwd_recompute_triton,EDGE_WEIGHT_STRIDE,"stride(0) of a (128, 128) weight, so 128 whenever WIDTH is -- it is specialised because a slice of a packed projection is a legal weight here, not because it varies with shape"
mpnn_edge_tail_bwd_dx_recompute_triton,EDGE_WEIGHT_STRIDE,"stride(0) of a (128, 128) weight, so 128 whenever WIDTH is -- it is specialised because a slice of a packed projection is a legal weight here, not because it varies with shape"
mpnn_node_message_fwd_gemm_triton,EDGE_WEIGHT_STRIDE,"stride(0) of a (128, 128) weight, so 128 whenever WIDTH is -- it is specialised because a slice of a packed projection is a legal weight here, not because it varies with shape"
mpnn_node_message_bwd_recompute_triton,EDGE_WEIGHT_STRIDE,"stride(0) of a (128, 128) weight, so 128 whenever WIDTH is -- it is specialised because a slice of a packed projection is a legal weight here, not because it varies with shape"
mpnn_node_message_bwd_dx_triton,EDGE_WEIGHT_STRIDE,"stride(0) of a (128, 128) weight, so 128 whenever WIDTH is -- it is specialised because a slice of a packed projection is a legal weight here, not because it varies with shape"
mpnn_node_message_fwd_gemm_triton,BLOCK_M1,"_block_rows(neighbors): a pure function of NEIGHBORS, which is folded into shape_key at the launch. The tuner axis for this kernel is GROUPS; BLOCK_M1 is derived, not searched"
mpnn_node_message_bwd_recompute_triton,BLOCK_M1,"_block_rows(neighbors): a pure function of NEIGHBORS, which is folded into shape_key at the launch. The tuner axis for this kernel is GROUPS; BLOCK_M1 is derived, not searched"
mpnn_node_message_bwd_dx_triton,BLOCK_M1,"_block_rows(neighbors): a pure function of NEIGHBORS, which is folded into shape_key at the launch. The tuner axis for this kernel is GROUPS; BLOCK_M1 is derived, not searched"
mpnn_relative_position_bwd_reduce_triton,BUCKET_BLOCK,"next_power_of_2(buckets), and buckets IS folded into shape_key at the launch -- a pure function of an axis already in the key cannot split a bucket the key does not"
mpnn_edge_tail_fwd_gemm_gather_saveact_triton,WIDTH,"128 and only 128: ProteinMPNN's hidden/node/edge dimension in every shipped configuration, and the kernels read it from the family's own _WIDTH constant rather than from a shape. An axis with one value adds a key digit that never varies"
mpnn_edge_tail_fwd_gemm_b2b_saveact_triton,WIDTH,"128 and only 128: ProteinMPNN's hidden/node/edge dimension in every shipped configuration, and the kernels read it from the family's own _WIDTH constant rather than from a shape. An axis with one value adds a key digit that never varies"
mpnn_edge_tail_fwd_gemm_layernorm_saveact_triton,WIDTH,"128 and only 128: ProteinMPNN's hidden/node/edge dimension in every shipped configuration, and the kernels read it from the family's own _WIDTH constant rather than from a shape. An axis with one value adds a key digit that never varies"
mpnn_edge_tail_bwd_dx_saveact_triton,WIDTH,"128 and only 128: ProteinMPNN's hidden/node/edge dimension in every shipped configuration, and the kernels read it from the family's own _WIDTH constant rather than from a shape. An axis with one value adds a key digit that never varies"
mpnn_edge_tail_bwd_dx_gather_saveact_triton,WIDTH,"128 and only 128: ProteinMPNN's hidden/node/edge dimension in every shipped configuration, and the kernels read it from the family's own _WIDTH constant rather than from a shape. An axis with one value adds a key digit that never varies"
mpnn_edge_tail_fwd_gemm_gather_saveact_triton,W1_ROW_STRIDE,"stride(0) of a (128, 128) weight, so 128 whenever WIDTH is -- it is specialised because a slice of a packed projection is a legal weight here, not because it varies with shape"
mpnn_edge_tail_bwd_dx_gather_saveact_triton,W1_ROW_STRIDE,"stride(0) of a (128, 128) weight, so 128 whenever WIDTH is -- it is specialised because a slice of a packed projection is a legal weight here, not because it varies with shape"
